Starting Training Loop...
1000
[49/1000][0/3]	Loss_D: 0.0157	Loss_G: 6.2369	D(x): 0.9940	D(G(z)): 0.0096 / 0.0031
[50/1000][0/3]	Loss_D: 0.0282	Loss_G: 7.4507	D(x): 0.9946	D(G(z)): 0.0220 / 0.0010
[51/1000][0/3]	Loss_D: 0.0179	Loss_G: 6.3590	D(x): 0.9958	D(G(z)): 0.0135 / 0.0030
[52/1000][0/3]	Loss_D: 0.0166	Loss_G: 6.3469	D(x): 0.9949	D(G(z)): 0.0113 / 0.0033
[53/1000][0/3]	Loss_D: 0.0162	Loss_G: 6.3175	D(x): 0.9933	D(G(z)): 0.0093 / 0.0032
[54/1000][0/3]	Loss_D: 0.0165	Loss_G: 6.5576	D(x): 0.9930	D(G(z)): 0.0093 / 0.0030
[55/1000][0/3]	Loss_D: 0.0178	Loss_G: 6.5781	D(x): 0.9945	D(G(z)): 0.0120 / 0.0025
[56/1000][0/3]	Loss_D: 0.0152	Loss_G: 6.2780	D(x): 0.9921	D(G(z)): 0.0071 / 0.0031
[57/1000][0/3]	Loss_D: 0.0190	Loss_G: 6.9442	D(x): 0.9934	D(G(z)): 0.0118 / 0.0020
[58/1000][0/3]	Loss_D: 0.0167	Loss_G: 6.5855	D(x): 0.9937	D(G(z)): 0.0103 / 0.0024
[59/1000][0/3]	Loss_D: 0.0175	Loss_G: 6.5359	D(x): 0.9932	D(G(z)): 0.0105 / 0.0028
[60/1000][0/3]	Loss_D: 0.0146	Loss_G: 6.4259	D(x): 0.9943	D(G(z)): 0.0088 / 0.0025
[61/1000][0/3]	Loss_D: 0.0140	Loss_G: 6.5885	D(x): 0.9942	D(G(z)): 0.0080 / 0.0025
[62/1000][0/3]	Loss_D: 0.0159	Loss_G: 7.0266	D(x): 0.9953	D(G(z)): 0.0108 / 0.0018
[63/1000][0/3]	Loss_D: 0.0151	Loss_G: 6.5645	D(x): 0.9939	D(G(z)): 0.0089 / 0.0027
[64/1000][0/3]	Loss_D: 0.0128	Loss_G: 6.4400	D(x): 0.9937	D(G(z)): 0.0064 / 0.0026
[65/1000][0/3]	Loss_D: 0.0227	Loss_G: 7.3612	D(x): 0.9972	D(G(z)): 0.0195 / 0.0011
[66/1000][0/3]	Loss_D: 0.0269	Loss_G: 8.7446	D(x): 0.9979	D(G(z)): 0.0239 / 0.0004
[67/1000][0/3]	Loss_D: 0.7815	Loss_G: 1.1270	D(x): 0.7250	D(G(z)): 0.0221 / 0.5182
[68/1000][0/3]	Loss_D: 3.1034	Loss_G: 0.4276	D(x): 0.3228	D(G(z)): 0.1093 / 0.8273
[69/1000][0/3]	Loss_D: 1.9837	Loss_G: 5.6806	D(x): 0.5692	D(G(z)): 0.3100 / 0.1365
[70/1000][0/3]	Loss_D: 2.0696	Loss_G: 4.3053	D(x): 0.8509	D(G(z)): 0.6854 / 0.0352
[71/1000][0/3]	Loss_D: 0.8988	Loss_G: 2.6650	D(x): 0.7253	D(G(z)): 0.3169 / 0.1294
[72/1000][0/3]	Loss_D: 1.0157	Loss_G: 1.9113	D(x): 0.6142	D(G(z)): 0.2723 / 0.2046
[73/1000][0/3]	Loss_D: 1.7192	Loss_G: 5.0097	D(x): 0.9174	D(G(z)): 0.6753 / 0.0229
[74/1000][0/3]	Loss_D: 1.3375	Loss_G: 5.3964	D(x): 0.9067	D(G(z)): 0.5820 / 0.0162
[75/1000][0/3]	Loss_D: 1.2673	Loss_G: 7.2431	D(x): 0.8341	D(G(z)): 0.5588 / 0.0085
[76/1000][0/3]	Loss_D: 0.7858	Loss_G: 5.6107	D(x): 0.8267	D(G(z)): 0.3544 / 0.0135
[77/1000][0/3]	Loss_D: 0.9198	Loss_G: 6.2681	D(x): 0.8372	D(G(z)): 0.4159 / 0.0099
[78/1000][0/3]	Loss_D: 0.6513	Loss_G: 5.5998	D(x): 0.7985	D(G(z)): 0.2685 / 0.0113
[79/1000][0/3]	Loss_D: 0.4557	Loss_G: 5.9387	D(x): 0.8931	D(G(z)): 0.2473 / 0.0080
[80/1000][0/3]	Loss_D: 0.5099	Loss_G: 6.5352	D(x): 0.8785	D(G(z)): 0.2687 / 0.0064
[81/1000][0/3]	Loss_D: 0.5846	Loss_G: 5.3867	D(x): 0.7961	D(G(z)): 0.1811 / 0.0303
[82/1000][0/3]	Loss_D: 0.5781	Loss_G: 5.4914	D(x): 0.6748	D(G(z)): 0.0291 / 0.0338
[83/1000][0/3]	Loss_D: 0.7582	Loss_G: 10.0372	D(x): 0.9466	D(G(z)): 0.4231 / 0.0011
[84/1000][0/3]	Loss_D: 1.1360	Loss_G: 8.6122	D(x): 0.9868	D(G(z)): 0.5861 / 0.0011
[85/1000][0/3]	Loss_D: 0.7425	Loss_G: 7.1906	D(x): 0.9639	D(G(z)): 0.4058 / 0.0035
[86/1000][0/3]	Loss_D: 0.8833	Loss_G: 9.5708	D(x): 0.9626	D(G(z)): 0.4744 / 0.0008
[87/1000][0/3]	Loss_D: 0.4306	Loss_G: 5.8759	D(x): 0.9593	D(G(z)): 0.2683 / 0.0077
[88/1000][0/3]	Loss_D: 0.2107	Loss_G: 5.9680	D(x): 0.9316	D(G(z)): 0.1172 / 0.0061
[89/1000][0/3]	Loss_D: 0.4430	Loss_G: 7.5742	D(x): 0.9163	D(G(z)): 0.2531 / 0.0023
[90/1000][0/3]	Loss_D: 0.3960	Loss_G: 7.6966	D(x): 0.9627	D(G(z)): 0.2450 / 0.0015
[91/1000][0/3]	Loss_D: 0.2358	Loss_G: 6.1240	D(x): 0.9077	D(G(z)): 0.1075 / 0.0072
[92/1000][0/3]	Loss_D: 0.2507	Loss_G: 7.2116	D(x): 0.9266	D(G(z)): 0.1422 / 0.0027
[93/1000][0/3]	Loss_D: 0.1377	Loss_G: 8.2228	D(x): 0.8968	D(G(z)): 0.0176 / 0.0053
[94/1000][0/3]	Loss_D: 0.1735	Loss_G: 7.5284	D(x): 0.9539	D(G(z)): 0.0958 / 0.0021
[95/1000][0/3]	Loss_D: 0.3401	Loss_G: 7.1441	D(x): 0.7575	D(G(z)): 0.0123 / 0.0073
[96/1000][0/3]	Loss_D: 0.1757	Loss_G: 7.9076	D(x): 0.8709	D(G(z)): 0.0206 / 0.0016
[97/1000][0/3]	Loss_D: 0.4343	Loss_G: 7.3574	D(x): 0.7054	D(G(z)): 0.0038 / 0.0028
[98/1000][0/3]	Loss_D: 0.2383	Loss_G: 7.5453	D(x): 0.9023	D(G(z)): 0.0903 / 0.0025
[99/1000][0/3]	Loss_D: 0.1591	Loss_G: 7.1004	D(x): 0.9340	D(G(z)): 0.0734 / 0.0027
[100/1000][0/3]	Loss_D: 0.2493	Loss_G: 8.5189	D(x): 0.9436	D(G(z)): 0.1536 / 0.0008
[101/1000][0/3]	Loss_D: 0.1016	Loss_G: 7.6566	D(x): 0.9560	D(G(z)): 0.0496 / 0.0020
[102/1000][0/3]	Loss_D: 0.1569	Loss_G: 7.1319	D(x): 0.9378	D(G(z)): 0.0771 / 0.0037
[103/1000][0/3]	Loss_D: 0.1784	Loss_G: 8.4175	D(x): 0.9644	D(G(z)): 0.1154 / 0.0009
[104/1000][0/3]	Loss_D: 0.1995	Loss_G: 9.5768	D(x): 0.9692	D(G(z)): 0.1441 / 0.0004
[105/1000][0/3]	Loss_D: 0.3661	Loss_G: 11.4696	D(x): 0.9734	D(G(z)): 0.2468 / 0.0001
[106/1000][0/3]	Loss_D: 0.3466	Loss_G: 10.0163	D(x): 0.9869	D(G(z)): 0.2310 / 0.0004
[107/1000][0/3]	Loss_D: 0.2330	Loss_G: 8.8347	D(x): 0.9625	D(G(z)): 0.1471 / 0.0008
[108/1000][0/3]	Loss_D: 0.1787	Loss_G: 8.2287	D(x): 0.9649	D(G(z)): 0.1188 / 0.0009
[109/1000][0/3]	Loss_D: 0.3337	Loss_G: 8.9773	D(x): 0.7582	D(G(z)): 0.0024 / 0.0044
[110/1000][0/3]	Loss_D: 0.2117	Loss_G: 7.0002	D(x): 0.8904	D(G(z)): 0.0592 / 0.0028
[111/1000][0/3]	Loss_D: 0.1667	Loss_G: 6.6889	D(x): 0.8789	D(G(z)): 0.0102 / 0.0052
[112/1000][0/3]	Loss_D: 0.0835	Loss_G: 6.6217	D(x): 0.9681	D(G(z)): 0.0469 / 0.0036
[113/1000][0/3]	Loss_D: 0.0938	Loss_G: 7.0758	D(x): 0.9607	D(G(z)): 0.0494 / 0.0022
[114/1000][0/3]	Loss_D: 0.0699	Loss_G: 6.8165	D(x): 0.9682	D(G(z)): 0.0353 / 0.0040
